"Source","SourceLabels","Relation","Target","TargetLabels"
"气管食管瘘","Disease","symptomAndSign","窒息","Disease"
"窒息","Disease","symptomAndSign","气管食管瘘","Disease"
"气管食管瘘","Disease","symptomAndSign","呛咳","SymptomAndSign"
"呛咳","SymptomAndSign","symptomAndSign","气管食管瘘","Disease"
"慢性肉芽肿病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","慢性肉芽肿病","Disease"
"脑炎型狂犬病","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","脑炎型狂犬病","Disease"
"药物性皮炎","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","药物性皮炎","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","腹痛","Disease"
"腹痛","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","胸腔积液","Disease"
"胸腔积液","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","气胸","Disease"
"气胸","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","低血容量","SymptomAndSign"
"低血容量","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","喘鸣","Disease"
"喘鸣","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","皮下气肿","SymptomAndSign"
"皮下气肿","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","腹膜炎","Disease"
"腹膜炎","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","心率加快","SymptomAndSign"
"心率加快","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","声哑","SymptomAndSign"
"声哑","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","气促","SymptomAndSign"
"气促","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","吞咽困难","Symptom"
"吞咽困难","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","压痛","Symptom"
"压痛","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","咳嗽","Symptom"
"咳嗽","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","胸痛","Disease"
"胸痛","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","破溃","SymptomAndSign"
"破溃","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","呼吸困难","Symptom"
"呼吸困难","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","感染","Disease"
"感染","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","休克","Disease"
"休克","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","发热","Disease"
"发热","Disease","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","口腔或鼻胃管中有血","SymptomAndSign"
"口腔或鼻胃管中有血","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","胸痛等","SymptomAndSign"
"胸痛等","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","心动过速","Symptom"
"心动过速","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","呼吸急促","Symptom"
"呼吸急促","Symptom","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","气管","SymptomAndSign"
"气管","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","颈部疼痛及压痛","SymptomAndSign"
"颈部疼痛及压痛","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"外伤性食管穿孔","Disease","symptomAndSign","外伤","SymptomAndSign"
"外伤","SymptomAndSign","symptomAndSign","外伤性食管穿孔","Disease"
"小儿小颌畸形综合征","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿小颌畸形综合征","Disease"
"食管黏膜损伤","Disease","symptomAndSign","炎症","SymptomAndSign"
"炎症","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","感染","Disease"
"感染","Disease","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","坏死","SymptomAndSign"
"坏死","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","刺激","SymptomAndSign"
"刺激","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","食管炎","Disease"
"食管炎","Disease","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","呕吐","Disease"
"呕吐","Disease","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","血肿","SymptomAndSign"
"血肿","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","烧灼感","SymptomAndSign"
"烧灼感","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","高热","Disease"
"高热","Disease","symptomAndSign","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","食管黏膜损伤","Disease"
"小儿碘缺乏病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿碘缺乏病","Disease"
"妊娠性心肌梗死","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","妊娠性心肌梗死","Disease"
"食管重复畸形","Disease","symptomAndSign","吞咽困难","Symptom"
"吞咽困难","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","出血","Disease"
"出血","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","喘憋","SymptomAndSign"
"喘憋","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","溃疡","Disease"
"溃疡","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","发绀","SymptomAndSign"
"发绀","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","喘息","Symptom"
"喘息","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","便血","Symptom"
"便血","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","呼吸急促","Symptom"
"呼吸急促","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","胸痛","Disease"
"胸痛","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","呕吐","Disease"
"呕吐","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","咳嗽","Symptom"
"咳嗽","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","窒息","Disease"
"窒息","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","缺氧","SymptomAndSign"
"缺氧","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","咯血","Symptom"
"咯血","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","呕血","Symptom"
"呕血","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","感染","Disease"
"感染","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","气管","SymptomAndSign"
"气管","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","呼吸困难","Symptom"
"呼吸困难","Symptom","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","吞咽困难或呕吐","SymptomAndSign"
"吞咽困难或呕吐","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","呼吸道感染","Disease"
"呼吸道感染","Disease","symptomAndSign","食管重复畸形","Disease"
"食管重复畸形","Disease","symptomAndSign","破溃","SymptomAndSign"
"破溃","SymptomAndSign","symptomAndSign","食管重复畸形","Disease"
"先天性肾病综合征","Disease","symptomAndSign","胃食管反流","SymptomAndSign"
"胃食管反流","SymptomAndSign","symptomAndSign","先天性肾病综合征","Disease"
"甲状腺癌","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","甲状腺癌","Disease"
"甲状腺癌","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","甲状腺癌","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","胸骨后、脊柱旁或肩胛间的疼痛","SymptomAndSign"
"胸骨后、脊柱旁或肩胛间的疼痛","SymptomAndSign","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","恶心","Symptom"
"恶心","Symptom","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","拒食","SymptomAndSign"
"拒食","SymptomAndSign","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","呕吐","Disease"
"呕吐","Disease","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","食管部位在进食时有烧灼感","SymptomAndSign"
"食管部位在进食时有烧灼感","SymptomAndSign","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","哽噎感","SymptomAndSign"
"哽噎感","SymptomAndSign","symptomAndSign","念珠菌性食管炎","Disease"
"念珠菌性食管炎","Disease","symptomAndSign","咽下困难","SymptomAndSign"
"咽下困难","SymptomAndSign","symptomAndSign","念珠菌性食管炎","Disease"
"喉癌","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","喉癌","Disease"
"舌乳头炎","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","舌乳头炎","Disease"
"新生儿青紫","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","新生儿青紫","Disease"
"肝淀粉样变性","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","肝淀粉样变性","Disease"
"肺部良性肿瘤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","肺部良性肿瘤","Disease"
"咽部灼伤","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","咽部灼伤","Disease"
"咽部灼伤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","咽部灼伤","Disease"
"肠白塞病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","肠白塞病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","反酸","Symptom"
"反酸","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","吞咽困难","Symptom"
"吞咽困难","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","心绞痛","Disease"
"心绞痛","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","溃疡","Disease"
"溃疡","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","胸痛","Disease"
"胸痛","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","哮喘","Disease"
"哮喘","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","刺激","SymptomAndSign"
"刺激","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","咽喉炎","Symptom"
"咽喉炎","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","咽炎","Disease"
"咽炎","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","气喘","Symptom"
"气喘","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","反胃","Disease"
"反胃","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","烧心","Symptom"
"烧心","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","反流","SymptomAndSign"
"反流","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","食管炎","Disease"
"食管炎","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","刺痛","Symptom"
"刺痛","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","痉挛","SymptomAndSign"
"痉挛","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","炎症","SymptomAndSign"
"炎症","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","咽部不适","SymptomAndSign"
"咽部不适","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","咳嗽","Symptom"
"咳嗽","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","恶心","Symptom"
"恶心","Symptom","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","反流食管炎","Disease"
"反流食管炎","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","肺炎","Disease"
"肺炎","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","烧灼感","SymptomAndSign"
"烧灼感","SymptomAndSign","symptomAndSign","老年人胃食管反流病","Disease"
"老年人胃食管反流病","Disease","symptomAndSign","喉炎","Disease"
"喉炎","Disease","symptomAndSign","老年人胃食管反流病","Disease"
"食管鳞癌","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","食管鳞癌","Disease"
"食管鳞癌","Disease","symptomAndSign","吞咽痛","Symptom"
"吞咽痛","Symptom","symptomAndSign","食管鳞癌","Disease"
"器械性食管损伤","Disease","symptomAndSign","发绀","SymptomAndSign"
"发绀","SymptomAndSign","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","感染","Disease"
"感染","Disease","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","休克","Disease"
"休克","Disease","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","体温升高","SymptomAndSign"
"体温升高","SymptomAndSign","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","穿孔","SymptomAndSign"
"穿孔","SymptomAndSign","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","颈部压痛及皮下气肿","SymptomAndSign"
"颈部压痛及皮下气肿","SymptomAndSign","symptomAndSign","器械性食管损伤","Disease"
"器械性食管损伤","Disease","symptomAndSign","压痛","Symptom"
"压痛","Symptom","symptomAndSign","器械性食管损伤","Disease"
"胸锁关节脱位","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","胸锁关节脱位","Disease"
"老年人预激综合征","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","老年人预激综合征","Disease"
"小儿白塞病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿白塞病","Disease"
"胸内甲状腺肿","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","胸内甲状腺肿","Disease"
"胸内甲状腺肿","Disease","symptomAndSign","食管较气管柔软等","SymptomAndSign"
"食管较气管柔软等","SymptomAndSign","symptomAndSign","胸内甲状腺肿","Disease"
"食管中段憩室","Disease","symptomAndSign","食管炎","Disease"
"食管炎","Disease","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","坏死","SymptomAndSign"
"坏死","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","刺激","SymptomAndSign"
"刺激","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","气管","SymptomAndSign"
"气管","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","穿孔","SymptomAndSign"
"穿孔","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","呕吐","Disease"
"呕吐","Disease","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"食管中段憩室","Disease","symptomAndSign","炎症","SymptomAndSign"
"炎症","SymptomAndSign","symptomAndSign","食管中段憩室","Disease"
"马钱子中毒","Disease","symptomAndSign","食管癌","Disease"
"食管癌","Disease","symptomAndSign","马钱子中毒","Disease"
"原藻病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","原藻病","Disease"
"慢性纤维性甲状腺炎","Disease","symptomAndSign","压迫气管和食管：呼吸困难","SymptomAndSign"
"压迫气管和食管：呼吸困难","SymptomAndSign","symptomAndSign","慢性纤维性甲状腺炎","Disease"
"慢性纤维性甲状腺炎","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","慢性纤维性甲状腺炎","Disease"
"神经鞘源性肿瘤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","神经鞘源性肿瘤","Disease"
"小儿呕吐","Disease","symptomAndSign","反流食管炎","Disease"
"反流食管炎","Disease","symptomAndSign","小儿呕吐","Disease"
"小儿呕吐","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿呕吐","Disease"
"急性甲状腺炎","Disease","symptomAndSign","气管食管瘘","Disease"
"气管食管瘘","Disease","symptomAndSign","急性甲状腺炎","Disease"
"胃泌素瘤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","胃泌素瘤","Disease"
"胃泌素瘤","Disease","symptomAndSign","食管炎","Disease"
"食管炎","Disease","symptomAndSign","胃泌素瘤","Disease"
"小儿弹性假黄瘤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿弹性假黄瘤","Disease"
"恰加斯病","Disease","symptomAndSign","反流食管炎","Disease"
"反流食管炎","Disease","symptomAndSign","恰加斯病","Disease"
"恰加斯病","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","恰加斯病","Disease"
"小儿食管异物","Disease","symptomAndSign","拒乳等；异物较大时声音嘶哑","SymptomAndSign"
"拒乳等；异物较大时声音嘶哑","SymptomAndSign","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","呕吐","Disease"
"呕吐","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","进食困难","SymptomAndSign"
"进食困难","SymptomAndSign","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","呼吸困难","Symptom"
"呼吸困难","Symptom","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","咽部或食管哽噎感","SymptomAndSign"
"咽部或食管哽噎感","SymptomAndSign","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","吞咽疼痛","SymptomAndSign"
"吞咽疼痛","SymptomAndSign","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","声音嘶哑","Symptom"
"声音嘶哑","Symptom","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","喘鸣","Disease"
"喘鸣","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","窒息","Disease"
"窒息","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","流涎","Disease"
"流涎","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","出血","Disease"
"出血","Disease","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","咳嗽","Symptom"
"咳嗽","Symptom","symptomAndSign","小儿食管异物","Disease"
"小儿食管异物","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","小儿食管异物","Disease"
"新生儿消化道重复症","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","新生儿消化道重复症","Disease"
"poems综合征","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","poems综合征","Disease"
"食管异位组织","Disease","symptomAndSign","痉挛","SymptomAndSign"
"痉挛","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","发绀","SymptomAndSign"
"发绀","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","呼吸困难","Symptom"
"呼吸困难","Symptom","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","吞咽困难","Symptom"
"吞咽困难","Symptom","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","气管","SymptomAndSign"
"气管","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","僵直","SymptomAndSign"
"僵直","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","少数病例有中段狭窄","SymptomAndSign"
"少数病例有中段狭窄","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","肺炎","Disease"
"肺炎","Disease","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","反胃","Disease"
"反胃","Disease","symptomAndSign","食管异位组织","Disease"
"食管异位组织","Disease","symptomAndSign","吸入性呼吸困难等","SymptomAndSign"
"吸入性呼吸困难等","SymptomAndSign","symptomAndSign","食管异位组织","Disease"
"胃型哮喘","Disease","symptomAndSign","反流食管炎","Disease"
"反流食管炎","Disease","symptomAndSign","胃型哮喘","Disease"
"胃型哮喘","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","胃型哮喘","Disease"
"混合性结缔组织病","Disease","symptomAndSign","食管远端2/3蠕动减弱","SymptomAndSign"
"食管远端2/3蠕动减弱","SymptomAndSign","symptomAndSign","混合性结缔组织病","Disease"
"混合性结缔组织病","Disease","symptomAndSign","食管扩张","SymptomAndSign"
"食管扩张","SymptomAndSign","symptomAndSign","混合性结缔组织病","Disease"
"颈部开放性损伤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","颈部开放性损伤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","发热","Disease"
"发热","Disease","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","上腹部疼痛","Symptom"
"上腹部疼痛","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","食管","SymptomAndSign"
"食管","SymptomAndSign","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","声音嘶哑","Symptom"
"声音嘶哑","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","疼痛","Disease"
"疼痛","Disease","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","年龄","SymptomAndSign"
"年龄","SymptomAndSign","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","咳嗽","Symptom"
"咳嗽","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","消瘦","Symptom"
"消瘦","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","吞咽困难","Symptom"
"吞咽困难","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","肿块","SymptomAndSign"
"肿块","SymptomAndSign","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","食欲不振","Symptom"
"食欲不振","Symptom","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"原发性食管恶性淋巴瘤","Disease","symptomAndSign","腹部疼痛","SymptomAndSign"
"腹部疼痛","SymptomAndSign","symptomAndSign","原发性食管恶性淋巴瘤","Disease"
"ST段抬高型心肌梗死","Disease","symptomAndSign","食管炎","Disease"
